Day	New	Infected
1	17	28
2	59	41
3	77	94
4	77	170
5	149	260
6	571	406
7	259	529
8	444	771
9	688	1208
10	769	1870
11	1771	2613
12	1459	4349
13	1737	5739
14	1981	7417
15	2099	9308
16	2589	11289
17	2825	13748
18	3233	16369
19	3886	19381
20	3694	22942
21	3143	26302
22	3385	28984
23	2656	31774
24	3062	33738
25	2478	35982
26	2015	37626
27	15152	38800
28	5090	39302
29	2641	40364
30	2009	40351
31	2048	40007
32	1886	57934
33	1749	58023
34	817	57805
35	889	56729
36	397	55391
37	648	53284
38	214	52092
39	508	49824
40	406	47672
41	433	45604
42	327	42808
43	427	39919
44	573	37414
45	202	35329
46	125	32652
47	110	30004
48	139	27433
49	143	25352
50	99	23784
51	44	22177
52	40	20533
53	19	19016
54	24	17721
55	15	16145
56	20	14831
57	11	13526
58	20	12094
59	16	10734
60	21	9898
61	13	8976
62	34	8056
63	39	7263
64	41	6569
65	46	6013
66	39	5549
67	78	5120
68	47	4735
69	67	4291
70	55	3947
71	54	3460
72	45	3128
73	39	2691
74	48	2396
75	36	2161
76	35	2004
77	31	1863
78	19	1727
79	30	1562
80	39	1376
81	32	1299
82	62	1242
83	63	1190
84	42	1160
85	46	1116
86	99	1089
87	108	1138
88	89	1156
89	46	1170
90	46	1137
91	351	1107
92	27	1081
93	16	1058
94	12	1041
95	11	1031
96	30	1003
97	10	1005
98	6	959
99	12	915
100	11	838
101	3	801
102	6	723
103	22	648
104	4	647
105	12	619
106	1	599
107	2	557
108	3	531
109	1	481
