Day	Infected
1	1
2	1
3	1
4	1
5	1
6	4
7	6
8	15
9	21
10	31
11	43
12	74
13	106
14	139
15	164
16	184
17	248
18	495
19	737
20	911
21	1119
22	1265
23	1365
24	1467
25	1646
26	1821
27	2034
28	2275
29	2584
30	2758
31	2907
32	3206
33	3519
34	3811
35	4108
36	4369
37	4550
38	4657
39	4921
40	5129
41	5330
42	5530
43	5696
44	5783
45	5854
46	6013
47	6149
48	6255
49	6358
50	6426
51	6534
52	6610
53	6687
54	6809
55	6913
56	6993
57	7101
58	7150
59	7186
60	7271
61	7349
62	7426
63	7495
64	7548
65	7573
66	7608
67	7679
68	7729
69	7768
70	7806
71	7848
72	7871
73	7914
74	7959
75	8001
76	8038
77	8064
78	8097
79	8104
80	8106
